epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
72,195.967,1.24646,0.62384,0.98291,0.91887,0.91376,0.94874,0.61717,1.05374,0.5065,0.86068,0.00121375,0.00121375,0.00121375
73,385.291,1.24989,0.6275,0.97984,0.91848,0.91403,0.94882,0.61703,1.05362,0.50584,0.86073,0.00109,0.00109,0.00109
74,575.779,1.24206,0.62065,0.97941,0.91985,0.9135,0.94885,0.61711,1.05328,0.50587,0.86056,0.00096625,0.00096625,0.00096625
75,766.474,1.24141,0.62046,0.97932,0.91749,0.91429,0.94901,0.61762,1.05252,0.50561,0.86023,0.0008425,0.0008425,0.0008425
76,956.963,1.24301,0.61893,0.97859,0.91958,0.91517,0.9482,0.61787,1.05198,0.50559,0.8601,0.00071875,0.00071875,0.00071875
77,1146.9,1.23023,0.61267,0.97583,0.92055,0.91295,0.94838,0.61922,1.0519,0.50502,0.86006,0.000595,0.000595,0.000595
78,1336.54,1.22991,0.61101,0.97645,0.92054,0.91273,0.9485,0.61847,1.05178,0.50436,0.85996,0.00047125,0.00047125,0.00047125
79,1525.67,1.22044,0.60518,0.97468,0.92032,0.91252,0.94826,0.61876,1.05154,0.50414,0.85975,0.0003475,0.0003475,0.0003475
80,1715.24,1.22065,0.60672,0.97201,0.92003,0.91295,0.94856,0.61891,1.05126,0.50383,0.85969,0.00022375,0.00022375,0.00022375
